source,country,country_name,title,company,location,salary_min,salary_max,description,url,posted,skills,query,fetched_at
adzuna,in,India,Power Electronics Engineer,True Blue HR Consultants,India,,,"Job Title: Power Electronics Engineer- (Automative Lights assembling) Location: Pune Experience: 5 Years Budget: 10 to 12 LPA Education: Master’s degree in electrical engineering (preferred) Job Summary: We are looking for an experienced Power Electronics Engineer (Automative Lights assembling) to design and develop high-voltage power converters for automotive and industrial applications. The role involves end-to-end hardware development, simulation, and testing of systems like DC/DC converters…",https://www.adzuna.in/land/ad/5689759472?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=9D7E5C0C1D56908500284B62D363DF8CD5B378BF,2026-04-04T16:44:08Z,"['electrical engineering', 'LV', 'power electronics', 'converter']",power engineer,2026-04-04T14:47:38.737103
adzuna,in,India,Power Electronics Engineer,V-Guard,"Kochi, Ernakulam",,,"Job Description Hardware Development Lead end-to-end development of electronic hardware for next-generation products. Design analog and digital circuits, develop schematics, and create high-quality PCB layouts. Evaluate and integrate sensors, actuators, wireless modules, embedded processors, and power systems. Build proof-of-concepts (POCs) and engineering prototypes. Conduct hardware testing, validation, debugging, and iterative improvements. Firmware Development Develop efficient, reliable fi…",https://www.adzuna.in/land/ad/5681942966?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=8040AFA02FAFBEEAC397A046DAC92633446C8BC9,2026-03-29T09:54:14Z,"['power systems', 'power electronics']",power engineer,2026-04-04T14:47:38.737333
adzuna,in,India,Power System Engineer,IMR Soft LLC,"Hyderabad, Telangana",,,"Job Title: Manager (Power Projects) Location: IDA - Nacharam Department: Power Automation Projects Qualifications: M.Tech. / B.Tech. / Diploma (ECE/EEE) Experience: 6 years, Job Description: • Hands-on experience in the execution of SCADA/DMS systems for automation of Electrical and Distribution System, including planning, Designing, Supply and commissioning/data validation. • Project planning, Design, Supply and Coordination for installation/commissioning. • Preparing and submitting tenders, i…",https://www.adzuna.in/land/ad/5680961815?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=7D219D4AF46DDFF0CA9E30A30AD58B71ECB7706C,2026-03-28T09:46:43Z,"['SCADA', 'distribution']",power engineer,2026-04-04T14:47:38.737509
adzuna,in,India,High-Power RF Engineer,He3lumina Pvt. Ltd.,"Jodhpur, Rajasthan",,,"Role Summary You will design, build, and operate the odd-parity rotating magnetic field (RMFo) system that is the primary plasma heating, current drive, and formation method for our PFRC-class device. This is not a communications RF role. The RMFo system operates in the ion-cyclotron range of frequencies, drives tens to hundreds of kilowatts into a compact plasma load whose impedance changes on microsecond timescales, and must maintain precise phase and amplitude control across multiple antenna…",https://www.adzuna.in/land/ad/5674957844?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=44139386F0F522706822123A2DFCA38CACE8A102,2026-03-22T10:47:48Z,['AI'],power engineer,2026-04-04T14:47:38.737680
adzuna,in,India,Senior Power Systems Engineer,Bosch Global Software Technologies,"Bangalore, Karnataka",,,"Job Description Roles & Responsibilities : Perform Core/system level electrical design for customer’s grid-scale battery energy storage (BESS) products. This role will be focused on developing hardware designs that are safe, flexible, maintainable, and cost competitive. Responsibilities will include: • Develop requirements and electrical design for multi-MW energy storage systems integrating battery, power conversion, transformer to medium voltage, controls hardware, communication, auxiliary po…",https://www.adzuna.in/land/ad/5680320501?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=CB5430C0AF6D2D1ED716FFF90D5223DA5D7E8513,2026-03-27T17:47:48Z,"['power systems', 'transformer', 'grid', 'BESS', 'energy storage', 'AI']",power engineer,2026-04-04T14:47:38.737853
adzuna,in,India,L4 SharePoint / Power Platform Engineer,The AES Group,"Bangalore, Karnataka",,,"L4 SharePoint / Power Platform Engineer We are looking for an experienced Admin Architect with strong expertise in Microsoft technologies.  Experience: 10 Years  Work Mode: Remote (Chennai preferred)  Position : Fulltime Shift: EST (5:30 PM IST – 2:30 AM IST)  Key Skills Required: ✔ SharePoint Online (Admin & Architecture) ✔ Microsoft 365 (O365) Administration ✔ Power Platform – Power Apps, Power Automate, Power BI ✔ Governance, DLP Policies & Retention Policies ✔ ALM (Application Lifecycle Man…",https://www.adzuna.in/land/ad/5680963670?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=51784DCAC3599F79B1CEC1C9C3E7E476D5DD076C,2026-03-28T09:49:43Z,"['AI', 'power BI']",power engineer,2026-04-04T14:47:38.738040
adzuna,in,India,EV Power Electronics Design Engineer,LCM-Loop Charging Module,"Bangalore, Karnataka",,,"Position: EV Power Electronics Design Engineer Type: Full-Time Location: Bengaluru (On-site) Stipend/CTC: CTC will be determined based on relevant Skills, Experience (0-3 years) About the Company Loop Charging Module (LCM) is a pioneering EV technology startup founded by IIT Kharagpur alumni, focused on solving EV range anxiety through innovative modular charging solutions. LCM is developing a path-breaking airflow energy recovery system designed to harness wind energy from moving vehicles and …",https://www.adzuna.in/land/ad/5688079335?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=0984DCCAB2D86C27340A5C87FD74E20901E67F5A,2026-04-03T06:26:43Z,"['LV', 'RTU', 'wind energy', 'AI', 'power electronics']",power engineer,2026-04-04T14:47:38.738212
adzuna,in,India,Testing Engineer Power System Protection,Siemens,"Goa, India",,,"Testing Engineer – Power System Protection Location: Goa, In Roles and Responsiblity: Test Engineer (Protection System) will be responsible for testing of Control and Relay panels used for various voltage levels in India and Abroad for different applications. The incumbent will be responsible for different project phases like understanding client requirement , project specific documents , configuration of numerical relays , testing , and customer inspection (FAT) in factory. Support to Project …",https://www.adzuna.in/land/ad/5685309039?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=8126AD42FF01F252B8902770BCCA34FEE51E6522,2026-04-01T16:11:33Z,[],power engineer,2026-04-04T14:47:38.738388
adzuna,in,India,SENIOR POWER ELECTRONICS DESIGN ENGINEER,Azista Space,"Bangalore, Karnataka",,,"About Us: Join a team that is redefining the accessibility of space. Azista space is a transformative force in the global aerospace sector, uniquely positioned at the intersection of indigenous innovation and industrial scalability. Operating India’s first private-sector satellite mass-production facility in Ahmedabad, we have bridged the gap between complex engineering and high-volume manufacturing. As a vertically integrated leader, we provide end-to-end solutions from the precision design of…",https://www.adzuna.in/land/ad/5685321391?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=2E0FE7D19409C6B082B135690DFE924EB5C86007,2026-04-01T16:15:43Z,['power electronics'],power engineer,2026-04-04T14:47:38.738565
adzuna,in,India,Lead Hardware Engineer - Power Electronics,Ohmium,"Bangalore, Karnataka",,,"Responsibilities: Define specifications and requirements for product hardware. Conduct hardware design and firmware control reviews with a focus on high-level system integration. Monitor development and create test plans to verify electrical, environmental, and functional compliance. Perform FMEA (Failure Modes and Effects Analysis) to evaluate reliability and ensure there are no safety or liability concerns related to the product. Coordinate and track product development milestones with the pr…",https://www.adzuna.in/land/ad/5689757968?se=KmZbOTUw8RGPENaAeRtO7Q&utm_medium=api&utm_source=1fc61054&v=6A18D9739BCDF85B2FE878798DCE70B5A7C16F38,2026-04-04T16:36:43Z,"['AI', 'power electronics']",power engineer,2026-04-04T14:47:38.738741
adzuna,in,India,Senior Engineer-Traction Power,WSP in India,"Bangalore, Karnataka",,,"Description As a Senior Engineer – Traction Power, you will lead the design, review, assurance, and delivery of AC and DC traction power systems for major rail and metro projects across India and international regions, including Australia. This role demands deep technical expertise in 25 kV AC / 750 V–1500 V DC traction networks, substation design, protection engineering, and interdisciplinary coordination. You will act as a technical authority, mentor engineering teams, and ensure project deli…",https://www.adzuna.in/land/ad/5662371060?se=Pv-DOzUw8RGyzcm9L2Uavw&utm_medium=api&utm_source=1fc61054&v=0473A34FCB1926A2AA6B1858C61D89755F8309FA,2026-03-12T19:53:51Z,"['power systems', 'substation', 'AI']",power engineer,2026-04-04T14:47:42.657725
adzuna,in,India,Principal Engineer-Traction Power,WSP in India,"Bangalore, Karnataka",,,"Description As a Principal Engineer – Traction Power, you will lead the design, review, assurance, and delivery of AC and DC traction power systems for major rail and metro projects across India and international regions, including Australia. This role demands deep technical expertise in 25 kV AC / 750 V–1500 V DC traction networks, substation design, protection engineering, and interdisciplinary coordination. You will act as a technical authority, mentor engineering teams, and ensure project d…",https://www.adzuna.in/land/ad/5662371343?se=Pv-DOzUw8RGyzcm9L2Uavw&utm_medium=api&utm_source=1fc61054&v=EC9468DA6E93D52F55FCE515776BE4516A3E8B2C,2026-03-12T19:54:22Z,"['power systems', 'substation', 'AI']",power engineer,2026-04-04T14:47:42.657937
adzuna,in,India,Product Engineering Manager – Power,Cyient Semiconductors,"Bangalore, Karnataka",,,"The Product Engineering Manager will lead the product engineering function for power and high‑power semiconductor devices , with a strong focus on device characterization, qualification, release‑to‑production, and yield optimization . This role requires deep expertise in power semiconductor technology and hands‑on experience managing qualification programs for high‑voltage/high‑current devices. The manager will collaborate closely with technology, design, reliability, quality, and operations te…",https://www.adzuna.in/land/ad/5673891784?se=Pv-DOzUw8RGyzcm9L2Uavw&utm_medium=api&utm_source=1fc61054&v=63BA97FC31516B142B7CC9C8C80A4B82960D82B3,2026-03-21T10:36:32Z,[],power engineer,2026-04-04T14:47:42.658127
